symbol,since
GDALDatasetGetRelationshipNames,3.8.0
GDALDatasetGetRootGroup,3.8.0
GDALDatasetIsThreadSafe,3.10.0
GDALDatasetMarkSuppressOnClose,3.12.0
GDALDatasetRasterIOEx,3.8.0
GDALDatasetReleaseResultSet,3.8.0
GDALDatasetResetReading,3.8.0
GDALDatasetRollbackTransaction,3.8.0
GDALDatasetStartTransaction,3.8.0
GDALDatasetUpdateFieldDomain,3.8.0
GDALDatasetUpdateRelationship,3.8.0
GDALDimensionGetDirection,3.8.0
GDALDimensionGetIndexingVariable,3.8.0
GDALDimensionGetName,3.8.0
GDALDimensionGetSize,3.8.0
GDALDimensionGetType,3.8.0
GDALDriverHasOpenOption,3.11.0
GDALExtendedDataTypeCreate,3.8.0
GDALExtendedDataTypeGetClass,3.8.0
GDALExtendedDataTypeGetName,3.8.0
GDALExtendedDataTypeGetNumericDataType,3.8.0
GDALExtendedDataTypeRelease,3.8.0
GDALFlushCache,3.8.0
GDALGetBandNumber,3.8.0
GDALGetBlockSize,3.8.0
GDALGetColorInterpretationName,3.8.0
GDALGetDataTypeName,3.8.0
GDALGetDatasetDriver,3.8.0
GDALGetDescription,3.8.0
GDALGetDriver,3.8.0
GDALGetDriverByName,3.8.0
GDALGetDriverCount,3.8.0
GDALGetDriverCreationOptionList,3.8.0
GDALGetDriverHelpTopic,3.8.0
GDALGetDriverLongName,3.8.0
GDALGetDriverShortName,3.8.0
GDALGetExtent,3.12.0
GDALGetExtentWGS84LongLat,3.12.0
GDALGetFileList,3.8.0
GDALGetGCPCount,3.8.0
GDALGetGCPProjection,3.8.0
GDALGetGeoTransform,3.8.0
GDALGetGlobalAlgorithmRegistry,3.11.0
GDALGetMetadata,3.8.0
GDALGetMetadataDomainList,3.8.0
GDALGetMetadataItem,3.8.0
GDALGetOverview,3.8.0
GDALGetOverviewCount,3.8.0
GDALGetProjectionRef,3.8.0
GDALGetRasterBand,3.8.0
GDALGetRasterBandXSize,3.8.0
GDALGetRasterBandYSize,3.8.0
GDALGetRasterColorInterpretation,3.8.0
GDALGetRasterCount,3.8.0
GDALGetRasterDataType,3.8.0
GDALGetRasterNoDataValue,3.8.0
GDALGetRasterOffset,3.8.0
GDALGetRasterScale,3.8.0
GDALGetRasterUnitType,3.8.0
GDALGetRasterXSize,3.8.0
GDALGetRasterYSize,3.8.0
GDALGetThreadSafeDataset,3.10.0
GDALGroupGetAttributes,3.8.0
GDALGroupGetFullName,3.8.0
GDALGroupGetGroupNames,3.8.0
GDALGroupGetMDArrayNames,3.8.0
GDALGroupGetName,3.8.0
GDALGroupOpenGroup,3.8.0
GDALGroupOpenMDArray,3.8.0
GDALGroupOpenMDArrayFromFullname,3.8.0
GDALGroupRelease,3.8.0
GDALInvGeoTransform,3.8.0
GDALMDArrayAsClassicDataset,3.8.0
GDALMDArrayGetAttributes,3.8.0
GDALMDArrayGetCoordinateVariables,3.8.0
GDALMDArrayGetDataType,3.8.0
GDALMDArrayGetDimensionCount,3.8.0
GDALMDArrayGetDimensions,3.8.0
GDALMDArrayGetFullName,3.8.0
GDALMDArrayGetName,3.8.0
GDALMDArrayGetNoDataValueAsDouble,3.8.0
GDALMDArrayGetOffset,3.8.0
GDALMDArrayGetScale,3.8.0
GDALMDArrayGetSpatialRef,3.8.0
GDALMDArrayGetUnit,3.8.0
GDALMDArrayGetView,3.8.0
GDALMDArrayRead,3.8.0
GDALMDArrayRelease,3.8.0
GDALOpenEx,3.8.0
GDALRasterIOEx,3.8.0
GDALReleaseArrays,3.8.0
GDALReleaseAttributes,3.8.0
GDALReleaseDataset,3.8.0
GDALReleaseDimensions,3.8.0
GDALSetDescription,3.8.0
GDALSetGeoTransform,3.8.0
GDALSetMetadata,3.8.0
GDALSetMetadataItem,3.8.0
GDALSetProjection,3.8.0
GDALSetSpatialRef,3.8.0
GDALVersionInfo,3.8.0
GDAL_COMPUTE_VERSION,3.8.0
GDAL_DCAP_APPEND,3.12.0
GDAL_DCAP_COORDINATE_EPOCH,3.8.0
GDAL_DCAP_CREATE,3.8.0
GDAL_DCAP_CREATECOPY,3.8.0
GDAL_DCAP_CREATECOPY_MULTIDIMENSIONAL,3.8.0
GDAL_DCAP_CREATE_FIELD,3.8.0
GDAL_DCAP_CREATE_LAYER,3.8.0
GDAL_DCAP_CREATE_MULTIDIMENSIONAL,3.8.0
GDAL_DCAP_CREATE_ONLY_VISIBLE_AT_CLOSE_TIME,3.12.0
GDAL_DCAP_CREATE_RELATIONSHIP,3.8.0
GDAL_DCAP_CURVE_GEOMETRIES,3.8.0
GDAL_DCAP_DEFAULT_FIELDS,3.8.0
GDAL_DCAP_DELETE_FIELD,3.8.0
GDAL_DCAP_DELETE_LAYER,3.8.0
GDAL_DCAP_DELETE_RELATIONSHIP,3.8.0
GDAL_DCAP_FEATURE_STYLES,3.8.0
GDAL_DCAP_FEATURE_STYLES_READ,3.8.0
GDAL_DCAP_FEATURE_STYLES_WRITE,3.8.0
GDAL_DCAP_FIELD_DOMAINS,3.8.0
